id,video,answer,choice1,choice2,choice3,choice4,category
0,https://d2drp7fo8uq4gv.cloudfront.net/bd9841c2-0ab4-4bdf-b36c-950c34d30d1e.mp4,I/me,my,I/me,his/her,your,pronouns
1,https://d2drp7fo8uq4gv.cloudfront.net/01529e1f-d89e-4f61-b19d-02eba16c8266.mp4,my,your,they,my,his/her,pronouns
2,https://d2drp7fo8uq4gv.cloudfront.net/a662f535-c9cd-4397-b35a-4ad1b00fa8c1.mp4,you,his/her,they,he/she,you,pronouns
3,https://d2drp7fo8uq4gv.cloudfront.net/f66cdfdd-6e6f-4882-962a-60ea769d0abe.mp4,your,he/she,his/her,their,your,pronouns
4,https://www.handspeak.com/word/h/he/he.mp4,he/she,you,he/she,their,I/me,pronouns
5,https://www.handspeak.com/word/h/his/his.mp4,his/her,his/her,their,your,they,pronouns
6,https://www.handspeak.com/word/t/the/they.mp4,they,I/me,he/she,my,they,pronouns
7,https://d2drp7fo8uq4gv.cloudfront.net/f42f546a-c49a-46db-84b6-ce03fef08974.mp4,their,I/me,their,your,my,pronouns
8,https://d2drp7fo8uq4gv.cloudfront.net/c8be36a3-ef5f-4f00-a1a8-ede6c09da594.mp4,boy,friend,girl,man,boy,people
9,https://d2drp7fo8uq4gv.cloudfront.net/1e981214-0334-4306-b156-232a8fab29f4.mp4,girl,friend,man,woman,girl,people
10,https://d2drp7fo8uq4gv.cloudfront.net/6afaeba4-c8cc-4a71-a20c-cbbaf0db4b1d.mp4,man,boy,girl,man,people,people
11,https://d2drp7fo8uq4gv.cloudfront.net/8b4f4bd7-4bba-4238-abe7-2615738cffea.mp4,woman,woman,friend,boy,man,people
12,https://d2drp7fo8uq4gv.cloudfront.net/09cc6384-e34e-4a8a-970e-5ca9e654220d.mp4,friend,boy,friend,family,man,people
13,https://d2drp7fo8uq4gv.cloudfront.net/800f02fe-b748-487d-8339-25f504328ee0.mp4,family,people,family,woman,girl,people
14,https://d2drp7fo8uq4gv.cloudfront.net/1747fce8-0851-4f07-ac56-995302b26aa7.mp4,people,man,friend,woman,people,people
15,https://d2drp7fo8uq4gv.cloudfront.net/cbf6e965-82a1-45a6-9cc4-ab3cfb19146d.mp4,who,how,which,who,what,question
16,https://d2drp7fo8uq4gv.cloudfront.net/93eb455c-e696-44ed-838a-6ac4b433b3df.mp4,what,what,when,where,which,question
17,https://d2drp7fo8uq4gv.cloudfront.net/a1b0e53d-7ecc-49d6-80a4-324ab63fec73.mp4,where,why,what,when,where,question
18,https://d2drp7fo8uq4gv.cloudfront.net/9115d062-a4b7-4397-9a6a-ec9957ab3dac.mp4,when,when,who,where,which,question
19,https://d2drp7fo8uq4gv.cloudfront.net/159fc305-9c5b-48a1-acce-f2b31a2ee9f3.mp4,why,where,when,how,why,question
20,https://d2drp7fo8uq4gv.cloudfront.net/5d378fe8-3410-4c74-8a13-29e8896cf183.mp4,which,why,how,who,which,question
21,https://d2drp7fo8uq4gv.cloudfront.net/ae024613-b96f-41aa-89d0-464a964e9c76.mp4,how,how,what,who,which,question
22,https://d2drp7fo8uq4gv.cloudfront.net/432c405d-0438-468a-9dab-7c47d1d06ee7.mp4,yes,sorry,no,yes,hello,communication
23,https://d2drp7fo8uq4gv.cloudfront.net/b3dc3ecd-564e-4843-bbd7-2dee28fd99fc.mp4,no,no,sorry,ok,name,communication
24,https://d2drp7fo8uq4gv.cloudfront.net/626bba65-f6c6-4172-92d0-ebe74234dc1f.mp4,hello,hello,yes,sorry,thank,communication
25,https://d2drp7fo8uq4gv.cloudfront.net/764bc419-5347-4108-9222-18d3addf6230.mp4,ok,hello,sorry,ok,name,communication
26,https://d2drp7fo8uq4gv.cloudfront.net/d6e3efab-f310-49de-87a4-3e66e02a74d9.mp4,thank,yes,no,thank,name,communication
27,https://d2drp7fo8uq4gv.cloudfront.net/a9f2ba3d-fd41-4347-9c6c-657fd532f7d2.mp4,sorry,thank,no,hello,sorry,communication
28,https://d2drp7fo8uq4gv.cloudfront.net/353736fc-5fbd-4a2c-b813-258b86018388.mp4,name,thank,hello,sorry,name,communication
29,https://d2drp7fo8uq4gv.cloudfront.net/9340b62b-9cde-4ac7-94dd-0491f23a3a07.mp4,time,minute,time,today,day,time
30,https://d2drp7fo8uq4gv.cloudfront.net/a2cf2583-22fe-4919-b35d-b9e16eccad87.mp4,day,day,today,Wednesday,yesterday,time
31,https://d2drp7fo8uq4gv.cloudfront.net/3372e163-dbce-4c4b-82d9-13a0fe562b2e.mp4,night,night,day,Saturday,Thursday,time
32,https://d2drp7fo8uq4gv.cloudfront.net/5289646c-e01f-47d0-a30c-57394667e7f6.mp4,morning,morning,Monday,day,afternoon,time
33,https://d2drp7fo8uq4gv.cloudfront.net/a083667c-c9e4-4d0e-be5f-b401ff72e29e.mp4,afternoon,Saturday,afternoon,Thursday,today,time
34,https://d2drp7fo8uq4gv.cloudfront.net/0d89c60f-75ea-45b0-a3e0-af8b59fdd6fa.mp4,noon,time,noon,hour,Friday,time
35,https://d2drp7fo8uq4gv.cloudfront.net/41458fbc-7041-476b-8c33-badc56d6ba07.mp4,hour,week,Thursday,tomorrow,hour,time
36,https://d2drp7fo8uq4gv.cloudfront.net/3e9906b6-03d6-49a6-805d-14738ad0e395.mp4,minute,Tuesday,minute,year,month,time
37,https://d2drp7fo8uq4gv.cloudfront.net/076a6621-3875-4a43-8409-a69e84ed6b0b.mp4,month,night,time,month,Monday,time
38,https://d2drp7fo8uq4gv.cloudfront.net/30028491-b88d-4ee9-81f5-8ddd1027dcd3.mp4,year,morning,afternoon,year,Saturday,time
39,https://d2drp7fo8uq4gv.cloudfront.net/06b766c3-30df-4e54-836f-00bc29dc68fb.mp4,week,today,yesterday,Wednesday,week,time
40,https://d2drp7fo8uq4gv.cloudfront.net/12e83c71-e3fb-40e1-95fb-a89f06d7aa5c.mp4,weekend,Thursday,weekend,Saturday,morning,time
41,https://d2drp7fo8uq4gv.cloudfront.net/8094a4a9-6c64-47cc-a843-baab928161f9.mp4,Monday,yesterday,Monday,day,afternoon,time
42,https://d2drp7fo8uq4gv.cloudfront.net/b644646b-b30e-48fd-bd94-3fa994bd0f38.mp4,Tuesday,Friday,Tuesday,tomorrow,yesterday,time
43,https://d2drp7fo8uq4gv.cloudfront.net/b8ec7e85-c218-471d-9811-3e793d29d350.mp4,Wednesday,Wednesday,day,year,morning,time
44,https://d2drp7fo8uq4gv.cloudfront.net/01fd528c-25ad-41c2-9f52-8e7a9bb55833.mp4,Thursday,time,noon,morning,Thursday,time
45,https://d2drp7fo8uq4gv.cloudfront.net/3cded6fc-c67d-4e34-8ffd-b1aa1d5adf4d.mp4,Friday,Sunday,noon,night,Friday,time
46,https://d2drp7fo8uq4gv.cloudfront.net/4cda93e8-7d3b-4abb-b412-5971ce57ae09.mp4,Saturday,weekend,night,week,Saturday,time
47,https://d2drp7fo8uq4gv.cloudfront.net/d2c0690e-1ab2-470e-835c-1544fb45120b.mp4,Sunday,Sunday,today,morning,Saturday,time
48,https://d2drp7fo8uq4gv.cloudfront.net/88592958-4301-451c-aab6-39208994ed9e.mp4,today,Sunday,month,today,Tuesday,time
49,https://d2drp7fo8uq4gv.cloudfront.net/216b38fd-4f72-4cf8-bcaf-2cabe5d244c6.mp4,yesterday,month,weekend,tomorrow,yesterday,time
50,https://d2drp7fo8uq4gv.cloudfront.net/34628485-6f9c-4fd2-bd14-5c56842b6faf.mp4,tomorrow,morning,tomorrow,month,hour,time
51,https://d2drp7fo8uq4gv.cloudfront.net/d883506c-fbaa-4dc4-a98b-cafe7a4bd865.mp4,go,remember,use,have,go,activity
52,https://d2drp7fo8uq4gv.cloudfront.net/bc4be3f8-9bda-4986-9680-4f497927f387.mp4,come,come,work,teach,visit,activity
