id,word,instrustion,source,category
0,I/me,"Using an ""I"" handshape, begin with your hand away from yourself and bring it in until you touch your chest.",https://d2drp7fo8uq4gv.cloudfront.net/bd9841c2-0ab4-4bdf-b36c-950c34d30d1e.mp4,pronouns
1,my,Place the palm side of your hand horizontally on your chest.,https://d2drp7fo8uq4gv.cloudfront.net/01529e1f-d89e-4f61-b19d-02eba16c8266.mp4,pronouns
2,you,Point directly in front of yourself with your index finger while moving your hand slightly forward.,https://d2drp7fo8uq4gv.cloudfront.net/a662f535-c9cd-4397-b35a-4ad1b00fa8c1.mp4,pronouns
3,your,"With your palm oriented forward, away from yourself, move your hand slightly forward.",https://d2drp7fo8uq4gv.cloudfront.net/f66cdfdd-6e6f-4882-962a-60ea769d0abe.mp4,pronouns
4,he/she,,https://www.handspeak.com/word/h/he/he.mp4,pronouns
5,his/her,,https://www.handspeak.com/word/h/his/his.mp4,pronouns
6,they,,https://www.handspeak.com/word/t/the/they.mp4,pronouns
7,their,"Begin with your hand in front of you with your palm oriented away from yourself. Then, move your hand slightly forward and to the side while keeping your palm oriented away from yourself.",https://d2drp7fo8uq4gv.cloudfront.net/f42f546a-c49a-46db-84b6-ce03fef08974.mp4,pronouns
8,boy,Begin with your hand in front of your forehead and bring your fingertips together 2 times.,https://d2drp7fo8uq4gv.cloudfront.net/c8be36a3-ef5f-4f00-a1a8-ede6c09da594.mp4,people
9,girl,Move your thumb across your jaw a couple of times.,https://d2drp7fo8uq4gv.cloudfront.net/1e981214-0334-4306-b156-232a8fab29f4.mp4,people
10,man,"Begin with your hand in an ""A"" handshape, with your thumb touching your forehead. Then, bring your hand down and touch your thumb on the center of your chest, and changing your handshape to a ""5"" handshape a you move down.",https://d2drp7fo8uq4gv.cloudfront.net/6afaeba4-c8cc-4a71-a20c-cbbaf0db4b1d.mp4,people
11,woman,"Begin with your the thumb of your hand touching your chin and your other fingers pointing up. Then, move your hand down and touch your thumb against the center of your chest.",https://d2drp7fo8uq4gv.cloudfront.net/8b4f4bd7-4bba-4238-abe7-2615738cffea.mp4,people
12,friend,"Begin with your index fingers oriented toward each other, with your dominant hand oriented away from yourself and your non-dominant hand oriented toward yourself. Bring your index fingers toward each other until they make contact and then rotate your hands so that your palm orientations are reversed and then make contact with your index fingers again.",https://d2drp7fo8uq4gv.cloudfront.net/09cc6384-e34e-4a8a-970e-5ca9e654220d.mp4,people
13,family,"Begin with both hands next to each other on the thumb side of your hands. Then, rotate your wrists until your hands make contact on the pinkie side of your hands.",https://d2drp7fo8uq4gv.cloudfront.net/800f02fe-b748-487d-8339-25f504328ee0.mp4,people
14,people,"With both hands next to each other in front of you, stagger making a forward circular motion with each hand a couple of times.",https://d2drp7fo8uq4gv.cloudfront.net/1747fce8-0851-4f07-ac56-995302b26aa7.mp4,people
15,who,"Begin with your hand in front of your face with your palm oriented to the side, your thumb against your chin, and your index finger pointing up. Then, curl your index finger slightly down a couple of times.",https://d2drp7fo8uq4gv.cloudfront.net/cbf6e965-82a1-45a6-9cc4-ab3cfb19146d.mp4,question
16,what,"Begin with both hands next to each other in front of you with your palms oriented up. Then, slightly move your hands from side to side in opposite directions a couple of times.",https://d2drp7fo8uq4gv.cloudfront.net/93eb455c-e696-44ed-838a-6ac4b433b3df.mp4,question
17,where,"With your hand in front of you in a ""1"" handshape and your palm oriented away from yourself, wiggle your index finger from side to side a couple of times.",https://d2drp7fo8uq4gv.cloudfront.net/a1b0e53d-7ecc-49d6-80a4-324ab63fec73.mp4,question
18,when,"Begin with both hands next to each other in front of you with the fingertips of your index fingers touching each other. Then, move your dominant hand in a circular motion that first begins by moving forward and down, and then ending with your index fingers touching each other again.",https://d2drp7fo8uq4gv.cloudfront.net/9115d062-a4b7-4397-9a6a-ec9957ab3dac.mp4,question
